CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
"08504101";"Pont Belle-Ile";;716044;1623440;"39";"RRAF 91 (WGS84) / UTM 20";"97213";"Le Lamentin";"972";"Martinique";"02";"Martinique";"FRJR113";;;;;;;;"25040860";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2018-06-28;"Suivi Pesticides";"Sur le pont chemin Saint-Maurice à Belle Île";"M";"Station de mesure Manuelle";55;;3;;
"08501101";"Palourde Lézarde";;710081;1627856;"39";"RRAF 91 (WGS84) / UTM 20";"97212";"Gros-Morne";"972";"Martinique";"02";"Martinique";"FRJR113";;;;;;;;"25010670";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"Amont pont sur le chemin entre le calvaire et la route forestière de Palourde";"M";"Station de mesure Manuelle";242;;3;;
"07050012";"Rivière La Rose à GOYAVE";;650406;1785944;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"jardin d'eau";"0";"Nature de la station inconnue";;;;;
"08423101";"Pont de Chaînes";;707857;1616934;"39";"RRAF 91 (WGS84) / UTM 20";"97209";"Fort-de-France";"972";"Martinique";"02";"Martinique";"FRJR116";;;;;;;;"24230430";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-10-18;"Suivi DCE";"300 mètres en amont du pont de chaînes (derrière station Totale)";"M";"Station de mesure Manuelle";8;;3;;16.23
"08102101";"Stade de Grand Rivière";;696272;1644387;"39";"RRAF 91 (WGS84) / UTM 20";"97211";"Grand'Rivière";"972";"Martinique";"02";"Martinique";"FRJR101";;;;;;;;"21010860";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"Juste en aval du spot de baignade sur la Grande Rivière";"M";"Station de mesure Manuelle";32;;1;;
"08203101";"Amont confluence Pirogue";;709285;1634691;"39";"RRAF 91 (WGS84) / UTM 20";"97214";"Le Lorrain";"972";"Martinique";"02";"Martinique";"FRJR103";;;;;;;;"22031300";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"En amont sur la Rivière Lorrain après le Gué sur la rivière Pirogue";"M";"Station de mesure Manuelle";116;;1;;
"07012220";"Rivière Bras David à PETIT-BOURG";;640170;1789080;"39";"RRAF 91 (WGS84) / UTM 20";"97121";"Pointe-Noire";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Maison de la Forêt (DAV220)";"0";"Nature de la station inconnue";;;;;
"07034020";"Rivière du Pérou à CAPESTERRE-BELLE-EAU";;653680;1775760;"39";"RRAF 91 (WGS84) / UTM 20";"97105";"Basse-Terre";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2021-01-01;;2021-04-30;"Programme DCE";"Ilet Pérou";"0";"Nature de la station inconnue";;;;;
"07035150";"Rivière Petite Plaine à POINTE-NOIRE";;634600;1794920;"39";"RRAF 91 (WGS84) / UTM 20";"97107";"Capesterre-Belle-Eau";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"N.D. des Larmes (RPP150)";"0";"Nature de la station inconnue";;;;;
"08824101";"Dormante";;719697;1602507;"39";"RRAF 91 (WGS84) / UTM 20";"97227";"Sainte-Luce";"972";"Martinique";"02";"Martinique";"FRJR109";;;;;;;;"28240230";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"Sur la D7 en aval du pont sur la rivière Oman";"M";"Station de mesure Manuelle";5;;1;;
"07046295";"Rivière du Plessis à VIEUX-HABITANTS";;635500;1775040;"39";"RRAF 91 (WGS84) / UTM 20";"97118";"Petit-Bourg";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Vanibel";"0";"Nature de la station inconnue";;;;;
"08541101";"Ressource";;716785;1616342;"39";"RRAF 91 (WGS84) / UTM 20";"97213";"Le Lamentin";"972";"Martinique";"02";"Martinique";"FRJR111";;;;;;;;"25411480";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2007-01-01;;2020-04-29;"Suivi DCE";"En aval de la passerelle à Ressource";"M";"Station de mesure Manuelle";1;;1;;
"07008015";"Grande Rivière de Capesterre à CAPESTERRE-BELLE-EAU";;653810;1776070;"39";"RRAF 91 (WGS84) / UTM 20";"97118";"Petit-Bourg";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Pont N1";"0";"Nature de la station inconnue";;;;;
"08115101";"Pr AEP-Vivé-Capot";;704840;1640598;"39";"RRAF 91 (WGS84) / UTM 20";"97214";"Le Lorrain";"972";"Martinique";"02";"Martinique";"FRJR102";;;;;;;;"21150560";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"En aval de la Prise AEP de la Capot";"M";"Station de mesure Manuelle";52;;3;;57
"07016001";"Rivière le Galion à BASSE-TERRE";;637110;1768100;"39";"RRAF 91 (WGS84) / UTM 20";"97118";"Petit-Bourg";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Pont N1";"0";"Nature de la station inconnue";;;;;
"07009010";"Rivière du Grand Carbet à CAPESTERRE-BELLE-EAU";;652760;1772300;"39";"RRAF 91 (WGS84) / UTM 20";"97109";"Gourbeyre";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Pont N1";"0";"Nature de la station inconnue";;;;;
"07048110";"Rivière Moreau à SAINTE-ROSE";;638325;1799225;"39";"RRAF 91 (WGS84) / UTM 20";"97121";"Pointe-Noire";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Amont distillerie Séverin (RPB110)";"0";"Nature de la station inconnue";;;;;
"08623101";"Fontane";;728319;1613157;"39";"RRAF 91 (WGS84) / UTM 20";"97210";"Le François";"972";"Martinique";"02";"Martinique";;;;;;;;;"26230490";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";"ACER (Autres Cours d'Eau et Ravines)";1999-01-01;;2018-06-08;"Suivi Pesticides";"Quartier Fontane sur la rivière du Simon";"M";"Station de mesure Manuelle";13;;1;;
"07045008";"Rivière Moustique Sainte-Rose à SAINTE-ROSE";;641737;1803207;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"amont de l'embouchure (RMOst3)";"0";"Nature de la station inconnue";;;;;
"08113101";"Pont de Mackintosh";;702714;1634671;"39";"RRAF 91 (WGS84) / UTM 20";"97218";"Le Morne-Rouge";"972";"Martinique";"02";"Martinique";"FRJR102";;;;;;;;"21130560";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2007-01-01;;2018-06-08;"Suivi Pesticides";"En aval du pont qui passe sur la rivière Capot (après Savane Petit)";"M";"Station de mesure Manuelle";313;;1;;
"08213101";"Pont RD24 Sainte-Marie";;714516;1634204;"39";"RRAF 91 (WGS84) / UTM 20";"97228";"Sainte-Marie";"972";"Martinique";"02";"Martinique";"FRJR105";;;;;;;;"22111460";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"En amont du pont de la RD24 avant le Morne Cossou";"M";"Station de mesure Manuelle";14;;1;;
"08521101";"Gué de la Desirade";;715828;1622423;"39";"RRAF 91 (WGS84) / UTM 20";"97213";"Le Lamentin";"972";"Martinique";"02";"Martinique";"FRJR112";;;;;;;;"25211480";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"En amont du Gué de la Désirade";"M";"Station de mesure Manuelle";38;;3;;
"08329101";"Saint-Pierre (ancien pont)";;696236;1631379;"39";"RRAF 91 (WGS84) / UTM 20";"97225";"Saint-Pierre";"972";"Martinique";"02";"Martinique";"FRJR120";;;;;;;;"23290480";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"En amont de l'ancien pont sur la Roxelane";"M";"Station de mesure Manuelle";4;;3;;
"07023495";"Rivière Aux Herbes à SAINT-CLAUDE";;640460;1772150;"39";"RRAF 91 (WGS84) / UTM 20";"97132";"Trois-Rivières";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Choisy";"0";"Nature de la station inconnue";;;;;
"08533101";"Brasserie Lorraine";;718211;1617870;"39";"RRAF 91 (WGS84) / UTM 20";"97213";"Le Lamentin";"972";"Martinique";"02";"Martinique";"FRJR112";;;;;;;;"25330750";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2018-06-28;"Suivi Pesticides";"En amont du pont après Brasserie Lorraine sur la N2006 vers rivière Caleçon";"M";"Station de mesure Manuelle";10;;1;;
"08209101";"Pont RN sur Rouge";;706203;1641942;"39";"RRAF 91 (WGS84) / UTM 20";"97214";"Le Lorrain";"972";"Martinique";"02";"Martinique";;;;;;;;;"22090620";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";"ACER (Autres Cours d'Eau et Ravines)";2007-01-01;;2018-06-08;"Suivi Pesticides";"En amont du pont de la Rivière Rouge (RN1)";"M";"Station de mesure Manuelle";12;;1;;
"07023005";"Rivière Aux Herbes à BASSE-TERRE";;636310;1769030;"39";"RRAF 91 (WGS84) / UTM 20";"97107";"Capesterre-Belle-Eau";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Marché";"0";"Nature de la station inconnue";;;;;
"08521102";"Pont RN1";;716999;1617836;"39";"RRAF 91 (WGS84) / UTM 20";"97213";"Le Lamentin";"972";"Martinique";"02";"Martinique";"FRJR112";;;;;;;;"25211480";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"Pont RN1 au Lamentin, entre Brasserie Lorraine et Mangot Vulcin";"M";"Station de mesure Manuelle";9;;3;;132.2
"07049040";"Rivière Bras de Sable à LAMENTIN";;642175;1795000;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Ravine Chaude - radier avant confluence";"0";"Nature de la station inconnue";;;;;
"08225101";"Grand Galion";;719614;1628049;"39";"RRAF 91 (WGS84) / UTM 20";"97230";"La Trinité";"972";"Martinique";"02";"Martinique";"FRJR106";;;;;;;;"22251790";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"En amont du hangar (site entretien mécanique)";"M";"Station de mesure Manuelle";6;;1;;
"07045080";"Rivière Moustique (sainte-rose) à SAINTE-ROSE";;638729;1802927;"39";"RRAF 91 (WGS84) / UTM 20";"97105";"Basse-Terre";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2017-04-07;;2021-04-30;"Programme DCE";"Saint-Val";"0";"Nature de la station inconnue";;;;;
"07002142";"Rivière du Petit Carbet à TROIS-RIVIÈRES";;645867;1767322;"39";"RRAF 91 (WGS84) / UTM 20";"97107";"Capesterre-Belle-Eau";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2017-04-07;;2021-04-30;"Programme DCE";"Chemin Langlois";"0";"Nature de la station inconnue";;;;;
"07044007";"Grande Rivière des Vieux Habitants à VIEUX-HABITANTS";;632200;1776310;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Amont embouchure (RDV7)";"0";"Nature de la station inconnue";;;;;
"08105101";"Amont bourg Basse-Pointe";;702811;1644665;"39";"RRAF 91 (WGS84) / UTM 20";"97203";"Basse-Pointe";"972";"Martinique";"02";"Martinique";;;;;;;;;"21050440";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";"ACER (Autres Cours d'Eau et Ravines)";2007-01-01;;2018-06-08;"Suivi Pesticides";"En amont du pont au Bourg de Basse-Pointe";"M";"Station de mesure Manuelle";9;;1;;
"08412102";"Pont de Montgérald";;710270;1616916;"39";"RRAF 91 (WGS84) / UTM 20";"97209";"Fort-de-France";"972";"Martinique";"02";"Martinique";"FRJR115";;;;;;;;"24120710";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2009-01-01;;2019-06-03;"Suivi DCE";"En amont du pont de la D13 vers Châteauboeuf";"M";"Station de mesure Manuelle";7;;1;;
"07047007";"Rivière Nogent, Pont RN";;634675;1808440;"39";"RRAF 91 (WGS84) / UTM 20";"97121";"Pointe-Noire";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Pont RN2";"0";"Nature de la station inconnue";;;;;
"07017650";"Rivière Grande Anse à TROIS-RIVIÈRES";;643940;1771360;"39";"RRAF 91 (WGS84) / UTM 20";"97134";"Vieux-Habitants";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Moscou";"0";"Nature de la station inconnue";;;;;
"07012120";"Rivière Bras David à PETIT-BOURG";;642660;1791460;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"site de l'INRA (RBD120)";"0";"Nature de la station inconnue";;;;;
"07026037";"Rivière Lézarde à PETIT-BOURG";;645538;1790088;"39";"RRAF 91 (WGS84) / UTM 20";"97119";"Petit-Canal";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Section Diane (RLE37)";"0";"Nature de la station inconnue";;;;;
"08803101";"Petit Bourg";;719813;1609262;"39";"RRAF 91 (WGS84) / UTM 20";"97221";"Rivière-Salée";"972";"Martinique";"02";"Martinique";"FRJR110";;;;;;;;"28030650";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2020-04-29;"Suivi DCE";"Sur la N8 entre le quartier Féral et Les Digues";"M";"Station de mesure Manuelle";5;;3;;15.3
"07035010";"Rivière Petite Plaine à POINTE-NOIRE";;630450;1794200;"39";"RRAF 91 (WGS84) / UTM 20";"97107";"Capesterre-Belle-Eau";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2021-01-01;;2021-04-30;"Programme DCE";"Maison du bois (RPP10)";"0";"Nature de la station inconnue";;;;;
"07040009";"Rivière de la Ramée à SAINTE-ROSE";;641767;1803200;"39";"RRAF 91 (WGS84) / UTM 20";"97121";"Pointe-Noire";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2017-04-05;;2021-04-30;"Programme DCE";"Moustique";"0";"Nature de la station inconnue";;;;;
"07032002";"Rivière des Pères à BAILLIF";;634630;1770790;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2021-01-01;;2021-04-30;"Programme DCE";"Amont l'embouchure, step (RDP2)";"0";"Nature de la station inconnue";;;;;
"08103101";"Camping Macouba";;699187;1644992;"39";"RRAF 91 (WGS84) / UTM 20";"97215";"Macouba";"972";"Martinique";"02";"Martinique";;;;;;;;;"21030480";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";"ACER (Autres Cours d'Eau et Ravines)";2007-01-01;;2018-06-08;"Suivi Pesticides";"En amont du pont au niveau de la piscine";"M";"Station de mesure Manuelle";44;;1;;
"08302101";"Case Navire";;704729;1617604;"39";"RRAF 91 (WGS84) / UTM 20";"97229";"Schœlcher";"972";"Martinique";"02";"Martinique";"FRJR118";;;;;;;;"23020730";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2009-01-01;;2020-04-29;"Suivi DCE";"En amont du gué en aval sur la Case-Navire";"M";"Station de mesure Manuelle";9;;1;;
"07028110";"Rivière Moustique Petit-Bourg à PETIT-BOURG";;647160;1787370;"39";"RRAF 91 (WGS84) / UTM 20";"97114";"Goyave";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Trianon";"0";"Nature de la station inconnue";;;;;
"08807201";"Barrage de la Manzo";;722470.52;1614143.13;"39";"RRAF 91 (WGS84) / UTM 20";"97210";"Le François";"972";"Martinique";"02";"Martinique";"JL001";"FRJL001";"la Manzo";"FRJ_MAR";"Martinique";"J";"FRJ";"Les cours d'eau de la Martinique";;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2005-01-01;;2013-10-07;;"Quartier la Manzo au François";"0";"Nature de la station inconnue";;;;;
"08205101";"Séguineau";;710265;1639658;"39";"RRAF 91 (WGS84) / UTM 20";"97216";"Le Marigot";"972";"Martinique";"02";"Martinique";"FRJR104";;;;;;;;"22051300";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2009-01-01;;2019-06-03;"Suivi DCE";"En face de l'ancienne ferme aquacole à Séguineau";"M";"Station de mesure Manuelle";11;;1;;
"07033003";"Petite Rivière à Goyave à GOYAVE";;653027;1783474;"39";"RRAF 91 (WGS84) / UTM 20";"97118";"Petit-Bourg";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2009-01-01;;2021-04-30;"Programme DCE";"Aval pont RD33";"0";"Nature de la station inconnue";;;;;
"08812101";"Pont Madeleine";;725851;1603633;"39";"RRAF 91 (WGS84) / UTM 20";"97220";"Rivière-Pilote";"972";"Martinique";"02";"Martinique";"FRJR108";;;;;;;;"28120420";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"En amont du Pont Madeleine";"M";"Station de mesure Manuelle";10;997.9916;1;;
"07052063";"Rivière Moreau à GOYAVE";;649883;1783799;"39";"RRAF 91 (WGS84) / UTM 20";"97114";"Goyave";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Les Mineurs (MOR063)";"0";"Nature de la station inconnue";;;;;
"08616105";"Pont Séraphin 2";;725605;1616506;"39";"RRAF 91 (WGS84) / UTM 20";"97210";"Le François";"972";"Martinique";"02";"Martinique";"FRJR107";;;;;;;;"26160340";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";"A remplacé la station de Pont Séraphin à partir de 2013";2013-01-01;;2019-06-03;"Suivi DCE";"En amont du pont Séraphin au François";"M";"Station de mesure Manuelle";2;;1;;
"07021172";"Grande Rivière à Goyaves à PETIT-BOURG";;642840;1788768;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2017-04-07;;2021-04-30;"Programme DCE";"Glacière";"0";"Nature de la station inconnue";;;;;
"07003160";"Rivière Beaugendre à VIEUX-HABITANTS";;634198;1780783;"39";"RRAF 91 (WGS84) / UTM 20";"97118";"Petit-Bourg";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2017-01-01;;2021-04-30;"Programme DCE";"Dieudonne";"0";"Nature de la station inconnue";;;;;
"08813103";"Amont Bourg Grande Rivière Pilote";;726737;1603172;"39";"RRAF 91 (WGS84) / UTM 20";"97220";"Rivière-Pilote";"972";"Martinique";"02";"Martinique";"FRJR108";;;;;;;;"28130600";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2011-01-01;;2020-04-29;"Suivi DCE";"Sur la Grande Rivière-Pilote N8 quartier Guénot";"M";"Station de mesure Manuelle";5;;1;;
"07021016";"Grande Rivière à Goyaves à SAINTE-ROSE";;642340;1799460;"39";"RRAF 91 (WGS84) / UTM 20";"97134";"Vieux-Habitants";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Amont SIS par Castel (GRG16)";"0";"Nature de la station inconnue";;;;;
"08322101";"Fond Baise";;697372;1627623;"39";"RRAF 91 (WGS84) / UTM 20";"97204";"Le Carbet";"972";"Martinique";"02";"Martinique";"FRJR119";;;;;;;;"23221600";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;1999-01-01;;2019-06-03;"Suivi DCE";"Juste en amont du rejet d'Aqualand";"M";"Station de mesure Manuelle";32;;1;;
"07022008";"Rivière Grande Plaine à POINTE-NOIRE";;630890;1792940;"39";"RRAF 91 (WGS84) / UTM 20";"97115";"Lamentin";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Lycée, pont N2 (RGP8)";"0";"Nature de la station inconnue";;;;;
"07044250";"Grande Rivière des Vieux Habitants à VIEUX-HABITANTS";;636750;1779230;"39";"RRAF 91 (WGS84) / UTM 20";"97129";"Sainte-Rose";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Prise d'eau";"0";"Nature de la station inconnue";;;;;
"07034267";"Rivière du Pérou à CAPESTERRE-BELLE-EAU";;648356;1775862;"39";"RRAF 91 (WGS84) / UTM 20";"97128";"Sainte-Anne";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2021-01-01;;2021-04-30;"Programme DCE";"Amont, Concessions";"0";"Nature de la station inconnue";;;;;
"08107101";"Pocquet RN1";;704201;1643583;"39";"RRAF 91 (WGS84) / UTM 20";"97203";"Basse-Pointe";"972";"Martinique";"02";"Martinique";;;;;;;;;"21060400";;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";"ACER (Autres Cours d'Eau et Ravines)";1999-01-01;;2018-06-08;"Suivi Pesticides";"En amont du pont de la RN1 sur la rivière Pocquet (passer par les habitations)";"M";"Station de mesure Manuelle";20;;1;;
"07015001";"Rivière Ferry à DESHAIES";;628410;1800660;"39";"RRAF 91 (WGS84) / UTM 20";"97124";"Saint-Claude";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2021-01-01;;2021-04-30;"Programme DCE";"Pont N2";"0";"Nature de la station inconnue";;;;;
"07001010";"Rivière du Bananier à CAPESTERRE-BELLE-EAU";;649853;1770325;"39";"RRAF 91 (WGS84) / UTM 20";"97107";"Capesterre-Belle-Eau";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2017-04-07;;2021-04-30;"Programme DCE";"Habituée";"0";"Nature de la station inconnue";;;;;
"07017005";"Rivière Grande Anse à TROIS-RIVIÈRES";;643870;1765590;"39";"RRAF 91 (WGS84) / UTM 20";"97104";"Baillif";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Pont D6";"0";"Nature de la station inconnue";;;;;
"07021010";"Grande Rivière à Goyaves à SAINTE-ROSE";;642320;1799890;"39";"RRAF 91 (WGS84) / UTM 20";"97134";"Vieux-Habitants";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Aval SIS, Bonne-Mère (GRG10)";"0";"Nature de la station inconnue";;;;;
"07008185";"Grande Rivière de Capesterre à CAPESTERRE-BELLE-EAU";;649140;1777670;"39";"RRAF 91 (WGS84) / UTM 20";"97105";"Basse-Terre";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2008-01-01;;2021-04-30;"Programme DCE";"Prise d'eau";"0";"Nature de la station inconnue";;;;;
"07028015";"Rivière Moustique Petit-Bourg à PETIT-BOURG";;649840;1789850;"39";"RRAF 91 (WGS84) / UTM 20";"97111";"Deshaies";"971";"Guadeloupe";"01";"Guadeloupe";;;;;;;;;;;;"0";"Station située sur un endroit (cours d'eau, plan d'eau...) non référencé";;2021-01-01;;2021-04-30;"Programme DCE";"Pont N1";"0";"Nature de la station inconnue";;;;;
